petition_id,label_length,abstract_length,num_signatures
149c87dfa1bce7aa63c4c2d34a30ed9fe504ceee9c3c88b23c1ac8be642d4440,8,45,6077572
806a8836684ee9c79e79bf0226ad9ae3e08b644dc9bb74033af6cfc505a3d3fb,8,33,4150262
4d21df063779711a6a137c75d6755980dc1242e86c2d5e14cb0f7000858d4cbc,12,40,1863708
ad8d9ff7c4b677cdcb567d5fe0508f38feda488bd681c3442b06d603fbef9225,9,52,608104
3465a4afe748ec72ff43645b829dc78ab9ed1745d3d7bb93a2ae831a29dcc978,8,14,596875
fba77977674a7a7899bf80f0c5f943d9d668e7b64ea3ca44056f6601f4c627b0,7,12,586930
d2db1c98b22446eca8adbb88377892d5b1550d003588f158a6cb49ee9a19d079,12,33,463501
ac998cc58f6cfa854476da695cf0aee10b5bf0465cbd8b576f86f41d16cfadf5,11,48,339925
45b466716c02a10ed39ece6c3b245adcd86aefa91b5e929be111365426755a5f,11,44,317542
4fcea1a244688bfbc40f052ee2238e6daa160b53ab2ecba54efb44f6b2b00747,13,42,307585
9e7330b0815a47b1d08a8168e2de5d13416fd7a4d16ac09bc3c9e162e0d73110,13,51,269157
fd3c39cf145f51023cab62a1c23ba6e523ff0aa4040f7495f39b14035281c161,9,54,245783
14e8f8b55fa58dfb49e6eaecd8f2bce4410c6b449092145e5242a105480b3efa,6,49,238769
bf279290cf6d8dd084462b956ba3ef9206e9359ba04ae7088919f18353a70eb2,16,19,237396
e6a00adb359e46e9ce307bea60370fcc626b5c8a3e31c6e2f46f8c4f6702b54d,9,53,236995
3b34e6a59acfe9ef6aa1950a9c11edfb5df7cbaaede833fb3db14546d1cdbfa9,15,49,227745
dc3e1f059c923f1b15d482497fac489a060caa96f89a0749ec5b130f61a15961,10,47,221866
01175aac5a0fd248285fa667eaa40b6dcde582e54bb4959d163579a5bd8f10ac,10,29,221514
9d50007dc05af76a6099c9bfed8506da8d3856040f77a877fb7662dd80227de6,6,47,216949
5f09858f9dd3a8988e767a1548ec373bb27fce19fa5ecea52b098707df76d2f6,11,26,213624
ce08142ca2d1a19244979765ac8c44b2b4a2e517a44039452602332ad6e9a7a6,8,48,212743
96bba22d89da8d5ca4aba034e2d4bb5873e7ec39779a5e9f7849f547a23d7e3f,14,56,205359
e2183fcf077cd45138c1d162b9290aaf57a4ee4467db32d7f392d9b9f52e7d8d,13,53,204790
b466551960fc6626ec4f6485953bb1b6c537943aa56efd634ce868068821c6de,12,24,203236
a0338cad22175596873f8e0e88fd33a940305329eba7da060cae9f0f4823d431,6,41,199391
678b4ad60faae5180f0d48cf4f075a49dd2478f8509bdd2755097887cc4b5110,7,46,192080
f1564ed61124867138436a5fb00eb20ab3643236903e2789ecbeaab162b4ca73,5,41,190223
fe3bdb2532f621d4f14bc8316b149501f5f5074d8e6c9ac900b57addb904c4c1,10,53,189881
903d9ce8664be296ca55b94da56171e214760442b57811e75afe7caea28760c9,10,33,187902
36c40e4bb27c255a10c02fdee870c21c5944003ad126ef7156b29eaac2451dd4,12,54,185175
6b93db0dacf29f81d5473ec2160967a648c6dfa3a582dc788d99c37e5b7a2053,15,49,180482
f7359ddb040c1e86cc2d78172b9e4c07c5b0d97a434d7b20630e0662c7f524b7,6,46,177014
fcd283889c714ca4b384677736c8b4a4133e7fd3cb9da75ef3cd750a3a014f69,13,34,170981
6d321da6dd2ca3f7302833f993eb85d6d5015d46b80ea1ed7c8028b226e27b16,13,37,168160
c423a540c1dfed2f426268c75e9d59ca61dad58c6628fe5e7db295ba6c9cd566,12,50,165932
b7fabf8f87a63a82f9a4bcd0699dac36bc6b3ed761f41d00a10959d272e6618d,14,49,164166
851dd0a4ba32cc74991e200adb5184f824e9edd7ad0355a3c7d188e03c9cb7c2,4,42,162568
44ba660793fd1da92c4c32dabc49946a725df2eba59d5441e14f599762514415,10,54,161347
aec19c03123481bb7db6b5c0f9b925ed8926cafdaf61009ec0f52c85ed21660c,13,26,156599
9f1a16ef36e5c00ef3e2c808ee6906462add24865841e7ccfc49b7bab75af216,14,47,155516
c497b0dd8640abd45d166e19604af9b0eeff2ae6a51f590544ad41cd712a34c6,14,39,153679
1b4408229e4b09e5dcdfdb06b1a7875b36688b80e453abe71e8f19e128d57381,15,55,152420
c1208d296fd17ba508fcfbfda0716a126d253dac9b7cd73af27f8efb5144e2c1,9,47,151403
cd83902c96b80bf70ea140b0f1cabe113de7bcd5820e9c75114b9e12b291ce5c,13,59,150110
36f9d64019a11706db7b810b3f2dc8ad88946f4407a77b16ad0a103ad4a013ab,16,45,149138
1396a5deaac318034c9c85f78b8d6ba00ce677565531d8e6d70405317ed27394,12,55,148327
3717d7d6a5343ee8cf0b303e23f173852d84523a34393f6107dc68d368968a12,14,48,148249
0657136e30c29d048b9840b5c2956c28f086be4ca1e456bd72314d66c072e559,12,50,147307
9e546c90363bd51e43f4fc25302674d87bac050b95d74d4f11d9b3d4e1a78a78,10,48,146452
705c9daa3b41b8c4a204a8e194f1d66323cbc1bd9f1b356acb9a2b4bfc146e5f,11,50,143653
fce005a327785fd92bcd83007b6d555fed75fff43f9e306e45b1a79094c5902f,4,54,141838
6c024641941e6ab5fabe1ae736e8da33742bf7fb023aaa6f84320e6580903738,6,44,136890
72ec270d275ca2476827aa820392100b5961536c6c639e52afef518d6401be5d,8,24,136468
4d1e9b83e2f4ab5bbd952fd3236b80900f1d851f9d572239b1c3d975a4ff488e,7,55,135939
2accd7ef91fa71aef1870f97b068313fcfb2e63004c8cfe48f2a387a5adbc9b2,8,46,134194
5d1f3f73c596ad50917ef895fa66f8074442f7eb2a30790e30f05d332b79ff46,14,56,133921
b2d971d94d3855021d257b3b6cc0694703063eac4215c30b46cb5f31a852dab9,7,46,133069
7c5e5ec69d42621bc0d6358e2fcbe5b005b593e60a93551de0cd41d09aa7f7c9,11,23,131365
7f1d157b6a2b53c219c253f854c51498aadef8cf4f8c090f33ec0abd40290420,8,46,128238
4c55995314efb978f1ea77a8b20f0907de2d05769b549cc133111b8ea6dee4c2,11,51,128210
7b87b508911326838204d210f9c779014c8842242eb25602696d40ed8fdcaf7f,13,39,128002
0f112c4075aa12a1e6f53f1931fa2bc56d18ef3ba245bf8aa6d5484032da7ba5,10,34,127729
a66f65e4173fa03d6ac9d09fb8010159b8477665612d38c5e25a4d29053ff25d,2,48,127296
00e42b8fa0f11e701434b2d49971bf35f8f9169259243509e7ab94c4f16f4ea4,15,48,127199
f9ddfd9de6248e930d112c14f705bd43054fc1491f713aab1039232901876b35,10,36,125958
e72356e6ccaa55c93ff46a0929e11197e243950140f7ce16f7aa00f875f834da,4,44,123077
c6ad3a8c22970a5c905b0368a6a7bf5f0bfd89667cbd4bb4bbda036125814ff7,10,51,120680
47eb691597a9da347c949dd0f7d4d7bb09c8d03dcc00d922947fa1db671a9ab4,12,53,120129
94a05a2d02a25bb6ffa17a3f280f5d06552be15d107aa907893a870b3421f432,14,43,118056
f163ff218ec4c84e8e62c21774cd382238c04981644647055c2405ec0ef5057e,11,46,118034
cd46ed44988d1df5b6b2208cd1111e130f2be302af0e1a716c467069debff986,9,51,117716
1dcb365d624ff2ef259b9308ca7124b554efe152019a4cacb85e78816712cfbc,12,14,116485
35b4d2c21ef0dca6dc283ed86c7c2cacd9d0281d57e2ccb85494dcc5f1cd7088,14,31,114504
246618fa1422786b5bddc3003c1dae48652c6e4604c76d7ab85e74ddc1af2a49,13,34,114122
f090973137220564a15ebddc78a5606cc77cc05ba59f2edc20b31f10a4aa09ec,15,44,113614
a833a7db32e78c2fba8d6a9e452e86c2af0a0cd91494cbd00939b6308d24ad6d,15,49,113285
a0da8dd34f472804746b80c6c7f60e8c875f43ee38df9c8e748225cdcee29c2e,4,49,112636
ca349e62785202dba7e01a6eab66d7a2d355277224d16905f99a444c6d514375,2,47,112585
47b9f4acad4c3e2beb5a7e97db18fad137308b61f5a4210448408bc840a3ffb8,11,48,112027
3c97227831d271b920089af11475607d11f867538eda5d3224937e86f2cefab9,9,44,110876
10b99d904f3bcfed21a1199f9f930d767065e0265b45ea5c3849b42677fea1ac,14,45,110137
d317769a585024b4bbad04370aa725fc718a909975831656f64cef3c85cc9e5e,12,50,110065
be806006581e73602031a5ee29935771109c14db39e9270711a09b8027270fd9,9,50,109554
75a6993b32061ee83fd514f7856d47974f6b65e6d1d911bd4c3e4d09bab3e43f,9,50,108530
4bdfd6f12e55c0f27bd5a2cb43e860d23ffcfbf0dbce6463a4eced9050ef5b02,10,48,108320
ee3accf0eeca37590b3c9016c993054e5ff5c423e291361acba2e7cf535058f0,14,45,107352
d3a911a3ab2d19a3263d2505d70d2e1b8f18aa4bc8574c4aa888dc1a847e2049,13,52,107177
f5cf5764c1b45b2a454eee19a81acb1d80602594440cb13ffb0247d7ca9bd112,15,51,106633
15185fbc6575579a8bc5cf7fe1f3840dd299f9c82df5b6513904248083bb701e,14,40,106409
e5b40ce4f0b7580003182be425468c2d2e26f77ae61b79ede0f5a47330733aff,11,49,105772
2c54bf20b4125c45f53a7e774d19e16f7acd36287c65deeb992ea0da72fbd2e2,14,51,104038
23502fcc817ba94f5812a2bae87eee7ccda358447582a75550d087c53fe28fea,10,46,103554
2ee0516813f09cd2b3f172cabccbadd48aa9026308354a4f5ce5be77d63f7db8,7,48,102499
f0b8a48c08dc599eee5d5abdb7ae982c7d5d036a4b2abd20187e40f6d12c61ed,12,48,102131
0202d084576d5020bbf3aa5185a06ec7b994e466b72a0a3ff0ee22e63a220188,14,47,101980
e9d7bd025fdade1e88e4ddd1994e741fc8d78408a02bfdb62533831b6dc82aa4,7,46,101941
d244f2981eb32663667fc437fecc4b8d940c4a6e77fea368e2ca80e806acae06,9,52,100752
10ad67c293ca7693686b3b6f0d742e425a48c3b3041aadd9baf234d9bd077229,12,39,98292
f004ef2a1b71b8d413468294747fd82cb712897a67e7a0cb41df6f4cfc13e44f,11,40,91913
1c5777aa01ce4bcfffcee78669b94f6c6c2a39f68b48ef726988c3159b6a1e84,13,51,89802
b60b87baf5fb216bddb0063369a5787aef147faa251f67d903f54ee66c53f085,14,41,83220
769bee43c4cab2ef1c5e7941077471a5e64d202d864b6158a54eac4a58dad36c,14,49,81328
01e70f457ae49b4ed44a8a3ae46f27e454cd32cc5f11f99e31c35baa86e1fd1b,12,53,81192
fa625de429808c3759df96299751a73922aaa367b5d034b2ddcccb8c5fffa8ea,5,48,81148
0508c95b45611f02119cee39f4e4a3ca0959c0f2eb74635cf61a3e7b080a0493,7,48,80691
e67a30eb69aaf92abae20c717f2027aafbb0c7afd0585e4424eeaf8e016df1c8,13,42,78468
1f8c711c446eca6ee22be7684df509babec7a6e69fc30156c5638958faf62646,11,44,72120
ef26cbb135c7a4d572c50c5ce06a0840e68d1e841808afd0e8f1e22e5cd4ff3e,6,52,72096
e8fdac6a95f611386a527e1664439902801ad1f2c166a4b35d660c0a4be9d926,9,45,71317
8fd69ae95226c901d8ca518c05901cf8371715002fd91166f533af952551cda5,11,49,71178
40e7e438fa09ff82e491a5edb7843867fe1100af7953a5c2c16cfafe956d3127,11,54,70481
896ad8fc0eece5faa9c0d65dc37121fc5cd811a6930a26aa7bea467b196c683a,13,51,68044
0cc43cf8236ca33b4b44842d5f0213cf34fa84a2f18e1d79f5c60007f718ff96,11,41,67959
b18c523bba96cc2db4a81a31b47ed9eddf4b6db8e0652b0f32cd4fe1274fb03e,10,41,67158
b83dfbd9016fb62f67dd95598a5adac5a170ac17cf30610249859db650192904,4,29,66972
2eb966604ddedf9f65f67035190235c1fc3efbbca2dd47b92d79ede76ada4ff9,13,48,66256
3f77bd258fbe0c969672d7404d880d2a7f8fc80fbc830f937a9be04eb38cd952,9,56,65221
035afcc47a884e9129dc09cb9deedcc84813425be25dd290075bc1b88b4297ce,12,58,64226
cb3d46e1c81de4aaed745fe1b90e316f321535d8656b1c79adeb18c2a32bf5ee,8,50,64016
e3d538ab51bf47aefa2f552d82260fdfad49582885e74ff68c32714c40940bff,12,42,63725
874ba76bd9d81b45208999e681a64cffce1b17fa6f4b3d8f74e30cd77f418a8a,7,43,63538
f5fbb3994833e7985c802d1a4784a0906364f8bc4758e0b1ea7de44508f16f69,11,43,62478
689567fd64846f89a2ec5fa9a3eaf7334450825f0bffbbec1c97fb3345dfbf59,3,41,61101
79739e20414c26f5e758061fcb69b7ceb7eaa78c37c5741cb1048cf790e9a0eb,9,49,60894
f6fba0e5a823f4500650cb10e9f71f731b1a617a0454e11d368f9eae4dad4fd3,13,40,58674
f86f97326f849ba4ec8224d3243119ebef047c6e9ced79b03f0da9bba0b7b556,15,49,58448
a9b63886ef56fc2f716ecb21b8294b1e6b6ca29df7a9fedc9c01a4eb5247102a,8,57,58293
32264c57e1869b5cf95eae8ed126ce9dc50f822a6d035b8843bf5f712f329e4a,9,52,57456
ae16b9ff9ba9b039502aa3f612bc4a0f5a963ba7ad520701f5257ba7277b5707,15,43,57418
8863330dfacfd47beb2c07a41cc1898220b2727aabfabf3cab2bfa914d3cafaf,12,49,56983
7c03a6db772d8fc1c8fe67aadc17320ce5ede9c6c7948f8e2a25423462004efd,10,50,56301
b5839fee0e496727e445246156d72443532249e352d8df291daac857a866b7f6,8,17,55504
